departamento,codigo_via,kilometro,modalidad,hora_siniestro,mes,dia_semana,es_noche,fatal
ICA,PE-1S,199.0,DESPISTE,8.0,1.0,SUNDAY,0,0
ICA,PE-1S,225.0,CHOQUE,21.0,1.0,SUNDAY,1,0
AMAZONAS,PE-08B,277.0,DESPISTE,17.0,1.0,SUNDAY,0,0
ANCASH,PE-1N,320.0,ESPECIAL,14.0,1.0,SUNDAY,0,0
MADRE DE DIOS,PE-30C,329.0,DESPISTE,3.0,1.0,SUNDAY,0,0
ICA,PE-1S,357.0,CHOQUE,4.0,1.0,SUNDAY,0,1
SAN MARTIN,PE-5N,390.0,DESPISTE,6.0,1.0,SUNDAY,0,0
MADRE DE DIOS,PE-30C,460.0,DESPISTE,17.0,1.0,SUNDAY,0,1
LA LIBERTAD,PE-1N,521.0,CHOQUE,13.0,1.0,SUNDAY,0,0
AREQUIPA,PE-1S,576.0,CHOQUE,15.0,1.0,SUNDAY,0,0
LA LIBERTAD,PE-1N,656.0,DESPISTE,18.0,1.0,SUNDAY,1,0
AREQUIPA,PE-1S,688.0,DESPISTE,18.0,1.0,SUNDAY,1,0
PUNO,PE-3S,1300.0,CHOQUE,9.0,1.0,SUNDAY,0,0
CAJAMARCA,PE-3N,1814.0,CHOQUE,4.0,1.0,SUNDAY,0,0
AMAZONAS,PE-5N,12.0,CHOQUE,15.0,1.0,MONDAY,0,0
JUNIN,PE-5S,12.0,DESPISTE,19.0,1.0,MONDAY,1,0
JUNIN,PE-3S,46.0,CHOQUE,17.0,1.0,MONDAY,0,0
JUNIN,PE-3S,46.0,CHOQUE,13.0,1.0,MONDAY,0,0
HUANUCO,PE-18A,50.0,DESPISTE,20.0,1.0,MONDAY,1,0
PUNO,PE-34H,55.0,DESPISTE,15.0,1.0,MONDAY,0,0
AREQUIPA,PE-34A,76.0,DESPISTE,22.0,1.0,MONDAY,1,0
LAMBAYEQUE,PE-06A,92.0,CHOQUE,18.0,1.0,MONDAY,1,1
AMAZONAS,PE-5N,135.0,DESPISTE,16.0,1.0,MONDAY,0,0
LA LIBERTAD,PE-1N,561.0,ATROPELLO,15.0,1.0,MONDAY,0,0
TACNA,PE-1S,1235.0,DESPISTE,13.0,1.0,MONDAY,0,0
LIMA,PE-1S,24.0,CHOQUE,11.0,1.0,TUESDAY,0,1
LIMA,PE-1SJ,32.0,CHOQUE,16.0,1.0,TUESDAY,0,0
LIMA,PE-1N,75.0,CHOQUE,13.0,1.0,TUESDAY,0,0
PUNO,PE-34H,86.0,CHOQUE,13.0,1.0,TUESDAY,0,0
HUANCAVELICA,PE-28A,114.0,DESPISTE,18.0,1.0,TUESDAY,1,0
LIMA,PE-1S,125.0,DESPISTE,16.0,1.0,TUESDAY,0,0
JUNIN,PE-22,145.0,DESPISTE,13.0,1.0,TUESDAY,0,0
LIMA,PE-1N,201.0,DESPISTE,2.0,1.0,TUESDAY,0,0
ANCASH,PE-1N,331.0,DESPISTE,15.0,1.0,TUESDAY,0,1
APURIMAC,PE-3S,828.0,DESPISTE,12.0,1.0,TUESDAY,0,0
CUSCO,PE-3S,970.0,DESPISTE,2.0,1.0,TUESDAY,0,0
CUSCO,PE-3S,1009.0,CHOQUE,19.0,1.0,TUESDAY,1,0
LIMA,PE-20A,6.0,CHOQUE,18.0,1.0,WEDNESDAY,1,0
AMAZONAS,PE-5N,7.0,DESPISTE,21.0,1.0,WEDNESDAY,1,0
PIURA,PE-02A,8.0,DESPISTE,21.0,1.0,WEDNESDAY,1,1
LIMA,PE-1S,32.0,DESPISTE,7.0,1.0,WEDNESDAY,0,0
JUNIN,PE-3S,37.0,CHOQUE,3.0,1.0,WEDNESDAY,0,0
JUNIN,PE-3S,62.0,DESPISTE,17.0,1.0,WEDNESDAY,0,0
JUNIN,PE-3S,62.0,DESPISTE,17.0,1.0,WEDNESDAY,0,0
LIMA,PE-1N,81.0,ATROPELLO,20.0,1.0,WEDNESDAY,1,1
JUNIN,PE-22,152.0,DESPISTE,3.0,1.0,WEDNESDAY,0,0
PIURA,PE-1NJ,154.0,DESPISTE,16.0,1.0,WEDNESDAY,0,0
CAJAMARCA,PE-06B,155.0,DESPISTE,7.0,1.0,WEDNESDAY,0,1
HUANUCO,PE-14A,203.0,DESPISTE,9.0,1.0,WEDNESDAY,0,0
ICA,PE-1S,208.0,DESPISTE,11.0,1.0,WEDNESDAY,0,0
LIMA,PE-1N,217.0,DESPISTE,6.0,1.0,WEDNESDAY,0,0
ICA,PE-1S,268.0,DESPISTE,18.0,1.0,WEDNESDAY,1,0
AMAZONAS,PE-5N,273.0,DESPISTE,8.0,1.0,WEDNESDAY,0,0
ICA,PE-1S,283.0,ATROPELLO,15.0,1.0,WEDNESDAY,0,0
AYACUCHO,PE-28A,313.0,DESPISTE,17.0,1.0,WEDNESDAY,0,0
ANCASH,PE-1N,342.0,CHOQUE,7.0,1.0,WEDNESDAY,0,0
ANCASH,PE-1N,343.0,DESPISTE,22.0,1.0,WEDNESDAY,1,0
CUSCO,PE-3S,985.0,ATROPELLO,14.0,1.0,WEDNESDAY,0,1
PUNO,PE-3S,1280.0,DESPISTE,12.0,1.0,WEDNESDAY,0,0
LORETO,LO-103,11.0,CHOQUE,18.0,1.0,THURSDAY,1,0
CUSCO,PE-28B,14.0,ATROPELLO,16.0,1.0,THURSDAY,0,0
LIMA,PE-1NA,20.0,CHOQUE,21.0,1.0,THURSDAY,1,0
CAJAMARCA,PE-06B,32.0,DESPISTE,3.0,1.0,THURSDAY,0,0
AREQUIPA,PE-34F,38.0,DESPISTE,17.0,1.0,THURSDAY,0,0
LIMA,PE-22,40.0,CHOQUE,5.0,1.0,THURSDAY,0,0
LIMA,PE-20A,45.0,DESPISTE,4.0,1.0,THURSDAY,0,1
HUANUCO,PE-18A,49.0,DESPISTE,19.0,1.0,THURSDAY,1,0
AREQUIPA,PE-34A,53.0,CHOQUE,15.0,1.0,THURSDAY,0,0
LIMA,PE-1N,64.0,DESPISTE,14.0,1.0,THURSDAY,0,0
LIMA,PE-1S,77.0,CHOQUE,15.0,1.0,THURSDAY,0,0
AMAZONAS,PE-5N,81.0,CHOQUE,23.0,1.0,THURSDAY,1,0
LIMA,PE-22,92.0,DESPISTE,0.0,1.0,THURSDAY,0,0
LIMA,PE-22,112.0,DESPISTE,21.0,1.0,THURSDAY,1,0
AREQUIPA,PE-34A,124.0,CHOQUE,21.0,1.0,THURSDAY,1,0
CAJAMARCA,PE-08B,130.0,DESPISTE,17.0,1.0,THURSDAY,0,0
HUANCAVELICA,PE-28A,137.0,DESPISTE,9.0,1.0,THURSDAY,0,0
JUNIN,PE-22,139.0,DESPISTE,18.0,1.0,THURSDAY,1,0
ICA,PE-1S,299.0,ATROPELLO,19.0,1.0,THURSDAY,1,0
ANCASH,PE-1N,383.0,DESPISTE,8.0,1.0,THURSDAY,0,0
AYACUCHO,PE-3S,464.0,DESPISTE,13.0,1.0,THURSDAY,0,0
AREQUIPA,PE-1S,935.0,CHOQUE,0.0,1.0,THURSDAY,0,1
CUSCO,PE-34G,4.0,CHOQUE,9.0,1.0,FRIDAY,0,0
JUNIN,PE-3S,6.0,DESPISTE,12.0,1.0,FRIDAY,0,0
ANCASH,PE-16,49.0,DESPISTE,5.0,1.0,FRIDAY,0,1
AREQUIPA,PE-34A,78.0,DESPISTE,15.0,1.0,FRIDAY,0,1
TACNA,PE-36A,124.0,DESPISTE,15.0,1.0,FRIDAY,0,1
CAJAMARCA,PE-08B,126.0,DESPISTE,12.0,1.0,FRIDAY,0,1
AMAZONAS,PE-5N,285.0,DESPISTE,5.0,1.0,FRIDAY,0,0
APURIMAC,PE-3S,759.0,DESPISTE,19.0,1.0,FRIDAY,1,1
JUNIN,PE-3SA,19.0,DESPISTE,9.0,1.0,SATURDAY,0,0
HUANUCO,PE-18A,20.0,DESPISTE,18.0,1.0,SATURDAY,1,0
LAMBAYEQUE,PE-1NJ,35.0,CHOQUE,9.0,1.0,SATURDAY,0,0
LIMA,PE-22,57.0,DESPISTE,8.0,1.0,SATURDAY,0,0
JUNIN,PE-22,62.0,DESPISTE,17.0,1.0,SATURDAY,0,0
AREQUIPA,PE-34E,63.0,DESPISTE,9.0,1.0,SATURDAY,0,0
CAJAMARCA,PE-06B,78.0,DESPISTE,20.0,1.0,SATURDAY,1,0
LIMA,PE-1N,82.0,CHOQUE,15.0,1.0,SATURDAY,0,0
LA LIBERTAD,PE-1N,89.0,CHOQUE,11.0,1.0,SATURDAY,0,0
LIMA,PE-22,103.0,DESPISTE,2.0,1.0,SATURDAY,0,0
LIMA,PE-1S,173.0,ESPECIAL,19.0,1.0,SATURDAY,1,0
AMAZONAS,PE-5N,233.0,DESPISTE,10.0,1.0,SATURDAY,0,0
PUNO,PE-34A,272.0,DESPISTE,12.0,1.0,SATURDAY,0,0
PUNO,PE-34A,272.0,DESPISTE,12.0,1.0,SATURDAY,0,0
CUSCO,PE-3S,1101.0,CHOQUE,19.0,1.0,SATURDAY,1,0
LA LIBERTAD,N.I.,0.0,CHOQUE,10.0,1.0,SUNDAY,0,0
PUNO,PE-34H,36.0,CHOQUE,13.0,1.0,SUNDAY,0,0
CUSCO,CU-117,43.0,CHOQUE,21.0,1.0,SUNDAY,1,0
PIURA,PE-1N,64.0,DESPISTE,17.0,1.0,SUNDAY,0,0
HUANCAVELICA,PE-28A,93.0,DESPISTE,16.0,1.0,SUNDAY,0,0
HUANUCO,PE-18A,110.0,CHOQUE,10.0,1.0,SUNDAY,0,0
AREQUIPA,PE-34A,117.0,CHOQUE,17.0,1.0,SUNDAY,0,0
ICA,PE-1S,202.0,DESPISTE,7.0,1.0,SUNDAY,0,0
LIMA,PE-1N,215.0,DESPISTE,10.0,1.0,SUNDAY,0,0
SAN MARTIN,PE-5N,572.0,CHOQUE,23.0,1.0,SUNDAY,1,0
LA LIBERTAD,PE-1N,713.0,CHOQUE,4.0,1.0,SUNDAY,0,0
JUNIN,PE-3N,1.0,DESPISTE,10.0,1.0,MONDAY,0,0
ANCASH,PE-14,2.0,CHOQUE,21.0,1.0,MONDAY,1,0
HUANCAVELICA,PE-3SD,8.0,DESPISTE,10.0,1.0,MONDAY,0,1
LAMBAYEQUE,PE-1N,10.0,ATROPELLO,22.0,1.0,MONDAY,1,0
LA LIBERTAD,PE-1S,14.0,CHOQUE,14.0,1.0,MONDAY,0,1
LIMA,PE-1N,106.0,CHOQUE,6.0,1.0,MONDAY,0,0
AREQUIPA,PE-34A,109.0,DESPISTE,13.0,1.0,MONDAY,0,0
LIMA,PE-1N,137.0,DESPISTE,2.0,1.0,MONDAY,0,0
AREQUIPA,PE-34A,146.0,DESPISTE,13.0,1.0,MONDAY,0,1
LIMA,PE-1N,159.0,DESPISTE,3.0,1.0,MONDAY,0,0
JUNIN,PE-3S,162.0,DESPISTE,15.0,1.0,MONDAY,0,0
PIURA,PE-1N,234.0,ATROPELLO,21.0,1.0,MONDAY,1,0
ICA,PE-1S,324.0,ATROPELLO,0.0,1.0,MONDAY,0,1
SAN MARTIN,PE-5N,397.0,DESPISTE,13.0,1.0,MONDAY,0,0
ICA,PE-1S,461.0,ATROPELLO,21.0,1.0,MONDAY,1,1
AREQUIPA,PE-1S,668.0,DESPISTE,21.0,1.0,MONDAY,1,0
JUNIN,N.I.,30.0,DESPISTE,7.0,1.0,TUESDAY,0,0
TACNA,PE-36,34.0,DESPISTE,6.0,1.0,TUESDAY,0,0
TACNA,N.I.,44.0,DESPISTE,10.0,1.0,TUESDAY,0,0
LIMA,PE-1N,48.0,CHOQUE,23.0,1.0,TUESDAY,1,0
LIMA,PE-22,57.0,CHOQUE,6.0,1.0,TUESDAY,0,0
HUANCAVELICA,PE-28A,66.0,DESPISTE,20.0,1.0,TUESDAY,1,0
ANCASH,PE-16,82.0,DESPISTE,4.0,1.0,TUESDAY,0,0
AYACUCHO,PE-30A,100.0,CHOQUE,8.0,1.0,TUESDAY,0,0
TACNA,N.I.,108.0,CHOQUE,21.0,1.0,TUESDAY,1,0
JUNIN,PE-3S,111.0,ATROPELLO,19.0,1.0,TUESDAY,1,0
